,GEOID,price_$,price_$$,price_$$$,price_$$$$,MISSING,Geography,Households,pct_0-25k,pct_25k-50k,pct_50k-75k,pct_75k-100k,pct_100k-125k,pct_125k-150k,pct_> 150k,num_0-25k,num_25k-50k,num_50k-75k,num_75k-100k,num_100k-125k,num_125k-150k,num_> 150k
85,36047013500,3,11,1,0,5,"Census Tract 135, Kings County, New York",1507,0.09300000000000001,0.08199999999999999,0.086,0.105,0.10099999999999999,0.066,0.467,140.151,123.57399999999998,129.60199999999998,158.23499999999999,152.207,99.462,703.769
86,36047013600,8,4,0,1,3,"Census Tract 136, Kings County, New York",1413,0.157,0.19,0.18100000000000002,0.076,0.07400000000000001,0.113,0.207,221.841,268.47,255.75300000000004,107.38799999999999,104.56200000000001,159.669,292.491
87,36047013700,9,12,0,0,6,"Census Tract 137, Kings County, New York",1459,0.2,0.066,0.091,0.09,0.17300000000000001,0.057,0.322,291.8,96.29400000000001,132.769,131.31,252.407,83.163,469.798
88,36047013800,8,6,0,0,0,"Census Tract 138, Kings County, New York",1260,0.242,0.20199999999999999,0.16399999999999998,0.111,0.063,0.079,0.139,304.92,254.51999999999998,206.64,139.86,79.38,99.54,175.14000000000001
89,36047013900,5,7,1,0,2,"Census Tract 139, Kings County, New York",1389,0.111,0.091,0.094,0.1,0.11900000000000001,0.125,0.36,154.179,126.399,130.566,138.9,165.29100000000003,173.625,500.03999999999996
90,36047014000,3,2,0,0,1,"Census Tract 140, Kings County, New York",767,0.16,0.188,0.163,0.106,0.14300000000000002,0.063,0.177,122.72,144.196,125.021,81.30199999999999,109.68100000000001,48.321,135.759
91,36047014100,7,6,0,0,2,"Census Tract 141, Kings County, New York",1381,0.175,0.091,0.14800000000000002,0.079,0.127,0.048,0.332,241.67499999999998,125.67099999999999,204.38800000000003,109.099,175.387,66.288,458.492
92,36047014200,1,3,0,0,2,"Census Tract 142, Kings County, New York",1301,0.213,0.24600000000000002,0.18100000000000002,0.10099999999999999,0.078,0.035,0.145,277.113,320.04600000000005,235.48100000000002,131.40099999999998,101.478,45.535000000000004,188.64499999999998
93,36047014300,7,7,1,0,2,"Census Tract 143, Kings County, New York",1413,0.127,0.096,0.165,0.084,0.158,0.092,0.27899999999999997,179.451,135.648,233.145,118.69200000000001,223.254,129.996,394.227
94,36047014500,9,5,0,0,2,"Census Tract 145, Kings County, New York",1717,0.147,0.19,0.18,0.135,0.17300000000000001,0.046,0.129,252.39899999999997,326.23,309.06,231.79500000000002,297.04100000000005,78.982,221.493
95,36047014700,0,3,0,0,0,"Census Tract 147, Kings County, New York",869,0.168,0.09699999999999999,0.17600000000000002,0.113,0.146,0.075,0.226,145.99200000000002,84.29299999999999,152.94400000000002,98.197,126.874,65.175,196.394
96,36047014800,0,2,0,0,0,"Census Tract 148, Kings County, New York",478,0.222,0.213,0.107,0.14400000000000002,0.027000000000000003,0.054000000000000006,0.23199999999999998,106.116,101.814,51.146,68.83200000000001,12.906000000000002,25.812000000000005,110.89599999999999
97,36047014900,5,14,1,0,4,"Census Tract 149, Kings County, New York",2315,0.055999999999999994,0.11599999999999999,0.098,0.146,0.091,0.114,0.37799999999999995,129.64,268.53999999999996,226.87,337.98999999999995,210.665,263.91,875.0699999999998
98,36047015100,7,11,0,0,3,"Census Tract 151, Kings County, New York",1674,0.084,0.106,0.094,0.08800000000000001,0.14,0.069,0.418,140.616,177.444,157.356,147.312,234.36,115.50600000000001,699.732
99,36047015200,1,0,0,0,0,"Census Tract 152, Kings County, New York",868,0.157,0.20600000000000002,0.109,0.113,0.16399999999999998,0.062,0.18899999999999997,136.276,178.80800000000002,94.612,98.084,142.35199999999998,53.816,164.05199999999996
100,36047015300,8,6,0,0,2,"Census Tract 153, Kings County, New York",1162,0.046,0.061,0.11199999999999999,0.145,0.102,0.055,0.478,53.452,70.882,130.14399999999998,168.48999999999998,118.52399999999999,63.910000000000004,555.4359999999999
101,36047015400,0,0,0,0,1,"Census Tract 154, Kings County, New York",0,,,,,,,,,,,,,,
102,36047015500,4,5,1,1,3,"Census Tract 155, Kings County, New York",1505,0.087,0.052000000000000005,0.138,0.076,0.071,0.098,0.478,130.935,78.26,207.69000000000003,114.38,106.85499999999999,147.49,719.39
103,36047015700,5,5,0,0,0,"Census Tract 157, Kings County, New York",1953,0.034,0.133,0.08199999999999999,0.16899999999999998,0.092,0.068,0.42200000000000004,66.402,259.749,160.146,330.05699999999996,179.676,132.804,824.166
104,36047015900,7,9,2,0,1,"Census Tract 159, Kings County, New York",2500,0.10400000000000001,0.091,0.079,0.132,0.069,0.107,0.418,260.0,227.5,197.5,330.0,172.50000000000003,267.5,1045.0
105,36047016000,9,6,0,0,11,"Census Tract 160, Kings County, New York",1620,0.18600000000000003,0.207,0.195,0.122,0.106,0.062,0.122,301.32000000000005,335.34,315.90000000000003,197.64,171.72,100.44,197.64
106,36047016100,5,17,2,0,2,"Census Tract 161, Kings County, New York",1398,0.091,0.129,0.14,0.094,0.114,0.077,0.355,127.218,180.342,195.72000000000003,131.412,159.372,107.646,496.28999999999996
107,36047016200,4,1,0,1,0,"Census Tract 162, Kings County, New York",1041,0.147,0.19899999999999998,0.152,0.126,0.08199999999999999,0.153,0.142,153.027,207.159,158.232,131.166,85.362,159.273,147.82199999999997
108,36047016300,4,6,2,0,6,"Census Tract 163, Kings County, New York",1365,0.136,0.08,0.125,0.16,0.067,0.10400000000000001,0.32799999999999996,185.64000000000001,109.2,170.625,218.4,91.45500000000001,141.96,447.71999999999997
109,36047016500,0,0,0,0,1,"Census Tract 165, Kings County, New York",2454,0.081,0.077,0.10400000000000001,0.065,0.111,0.03,0.532,198.774,188.958,255.216,159.51000000000002,272.394,73.61999999999999,1305.528
110,36047016600,0,0,0,0,1,"Census Tract 166, Kings County, New York",651,0.095,0.18,0.135,0.081,0.124,0.061,0.32299999999999995,61.845,117.17999999999999,87.885,52.731,80.724,39.711,210.27299999999997
111,36047016700,0,3,0,0,3,"Census Tract 167, Kings County, New York",2132,0.037000000000000005,0.081,0.046,0.135,0.11699999999999999,0.092,0.49200000000000005,78.88400000000001,172.692,98.072,287.82,249.444,196.144,1048.9440000000002
